epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,27.028,0.85443,0.80236,1,0.49313,0.000473745,0.000473745,0.000473745
2,53.6479,0.69916,0.81505,1,0.49032,0.000940672,0.000940672,0.000940672
3,75.4614,0.65586,0.85403,1,0.39775,0.00139817,0.00139817,0.00139817
4,96.4219,0.63071,0.78604,1,0.5702,0.00138656,0.00138656,0.00138656
5,118.194,0.58692,0.74524,1,0.64619,0.00137241,0.00137241,0.00137241
6,140.624,0.57781,0.85131,1,0.43976,0.00135826,0.00135826,0.00135826
7,161.362,0.53757,0.86038,1,0.37236,0.00134412,0.00134412,0.00134412
8,182.156,0.53044,0.83228,1,0.45723,0.00132997,0.00132997,0.00132997
9,203.333,0.52121,0.82956,1,0.46578,0.00131582,0.00131582,0.00131582
10,224.652,0.47529,0.86854,1,0.36429,0.00130168,0.00130168,0.00130168
11,245.194,0.45004,0.88033,1,0.34067,0.00128753,0.00128753,0.00128753
12,266.362,0.47407,0.86945,1,0.35468,0.00127338,0.00127338,0.00127338
13,287.182,0.43362,0.89755,1,0.27473,0.00125923,0.00125923,0.00125923
14,307.792,0.41355,0.85766,1,0.39633,0.00124509,0.00124509,0.00124509
15,328.658,0.41086,0.86129,1,0.37276,0.00123094,0.00123094,0.00123094
16,349.768,0.41158,0.88033,1,0.32688,0.00121679,0.00121679,0.00121679
17,370.143,0.3997,0.87126,1,0.36759,0.00120265,0.00120265,0.00120265
18,390.872,0.38415,0.88667,1,0.31515,0.0011885,0.0011885,0.0011885
19,411.641,0.37662,0.88395,1,0.36246,0.00117435,0.00117435,0.00117435
20,432.626,0.34889,0.90752,1,0.2863,0.00116021,0.00116021,0.00116021
21,453.782,0.32824,0.90118,1,0.28573,0.00114606,0.00114606,0.00114606
22,475.044,0.31965,0.90481,1,0.29238,0.00113191,0.00113191,0.00113191
23,495.912,0.29115,0.91296,1,0.26654,0.00111776,0.00111776,0.00111776
24,518.145,0.34507,0.88123,1,0.33428,0.00110362,0.00110362,0.00110362
25,538.819,0.28294,0.90843,1,0.26433,0.00108947,0.00108947,0.00108947
26,559.444,0.29697,0.91206,1,0.24404,0.00107532,0.00107532,0.00107532
27,580.145,0.28852,0.92656,1,0.27972,0.00106118,0.00106118,0.00106118
28,600.631,0.28112,0.91387,1,0.25312,0.00104703,0.00104703,0.00104703
29,621.276,0.2907,0.92112,1,0.20126,0.00103288,0.00103288,0.00103288
30,641.9,0.26037,0.932,1,0.21797,0.00101873,0.00101873,0.00101873
31,662.567,0.24408,0.92747,1,0.24676,0.00100459,0.00100459,0.00100459
32,683.024,0.25147,0.92747,1,0.20978,0.00099044,0.00099044,0.00099044
